Region,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,PRODUCT,2009_sigma,2010_sigma,2011_sigma,2012_sigma,2013_sigma,2014_sigma,2015_sigma,2016_sigma,2017_sigma,2018_sigma,2019_sigma,2020_sigma
Former USSR,19462.9,20999.6,23366.8,23071.7,22655.7,21746.0,22335.2,22518.0,22781.0,23190.3,25665.6,27092.9,NH3,1946.2900000000002,2099.96,2336.68,2307.17,2265.57,2174.6,2233.52,2251.8,2278.1,2319.03,2566.56,2709.2900000000004
North America,13871.2,14687.1,15457.8,15162.9,15717.7,15795.4,16611.4,17408.4,18603.3,20447.3,21181.9,21943.1,NH3,1387.1200000000001,1468.71,1545.78,1516.29,1571.7700000000002,1579.54,1661.1400000000003,1740.8400000000001,1860.33,2044.73,2118.19,2194.31
Latin America,9482.800000000001,9924.1,9929.599999999999,9548.599999999999,9057.800000000001,8857.8,8612.6,9015.1,8839.2,7664.6,7103.8,6453.000000000001,NH3,948.2800000000002,992.4100000000001,992.9599999999999,954.8599999999999,905.7800000000002,885.78,861.2600000000001,901.5100000000001,883.9200000000001,766.46,710.3800000000001,645.3000000000002
Africa,5806.5,6331.2,5850.4,5691.800000000001,5266.999999999999,5335.099999999999,5405.999999999999,7411.299999999999,8318.5,10047.4,9532.4,9419.0,NH3,580.65,633.12,585.04,569.1800000000002,526.6999999999999,533.51,540.5999999999999,741.13,831.85,1004.74,953.24,941.9000000000001
Middle East,11055.6,12699.3,14193.1,14601.4,15145.3,15314.9,15686.8,16625.3,17611.5,18320.1,17242.2,17671.0,NH3,1105.5600000000002,1269.93,1419.3100000000002,1460.14,1514.53,1531.49,1568.68,1662.53,1761.15,1832.01,1724.2200000000003,1767.1000000000001
South Asia,16839.6,17137.8,17103.8,16635.4,17203.7,17176.6,18238.0,18846.2,18484.5,18946.6,19606.8,20057.3,NH3,1683.96,1713.78,1710.38,1663.5400000000002,1720.3700000000001,1717.6599999999999,1823.8000000000002,1884.6200000000001,1848.45,1894.6599999999999,1960.68,2005.73
North East Asia,59624.09999999999,57445.09999999999,58749.00000000001,62950.4,70800.79999999999,68712.20000000001,71339.7,65032.89999999999,61802.49999999999,62219.89999999999,64200.7,64607.7,NH3,5962.41,5744.509999999999,5874.9000000000015,6295.040000000001,7080.079999999999,6871.220000000001,7133.97,6503.289999999999,6180.25,6221.989999999999,6420.07,6460.77
Oceania,1799.4,1916.8,1507.6,1780.8,1876.2,1802.2,2084.5,2053.3,2150.8,1805.4,1965.0,2054.7,NH3,179.94000000000003,191.68,150.76,178.08,187.62,180.22000000000003,208.45000000000002,205.33000000000004,215.08000000000004,180.54000000000002,196.5,205.47
Europe,14489.2,16268.9,16821.0,17141.6,16906.7,16793.8,16587.5,16407.0,16918.5,16272.9,15801.6,16094.5,NH3,1448.92,1626.89,1682.1000000000001,1714.1599999999999,1690.67,1679.38,1658.75,1640.7,1691.8500000000001,1627.29,1580.16,1609.45
Former USSR,14378.1,14606.0,16130.0,16244.6,16044.8,15878.6,15950.5,16705.1,16620.1,16804.5,17785.9,18835.5,AN,1437.8100000000002,1460.6000000000001,1613.0,1624.46,1604.48,1587.8600000000001,1595.0500000000002,1670.51,1662.01,1680.45,1778.5900000000001,1883.5500000000002
North America,7343.7,7823.400000000001,8141.0,8167.8,8355.3,8368.9,8304.3,8844.3,9182.6,9604.4,9739.8,9525.300000000001,AN,734.37,782.3400000000001,814.1,816.7800000000001,835.53,836.89,830.43,884.43,918.2600000000001,960.44,973.98,952.5300000000002
Latin America,1322.0,1624.4,1795.5,1828.5,1737.2,1783.8,1752.6,1630.2,1508.1,1562.7,1512.4,1510.0,AN,132.20000000000002,162.44000000000003,179.55,182.85000000000002,173.72000000000003,178.38,175.26,163.02,150.81,156.27,151.24,151.0
Africa,2654.0,2600.7,2560.0,2714.300000000001,2714.5,2854.1,2581.3,2613.099999999999,2866.5,2908.8,2616.8,2527.6,AN,265.40000000000003,260.07,256.0,271.4300000000001,271.45,285.41,258.13000000000005,261.3099999999999,286.65000000000003,290.88000000000005,261.68,252.76
Middle East,619.6,747.9,601.2,661.5,724.1,870.4000000000001,901.8,762.3,506.8,676.0999999999999,626.4,522.5,AN,61.96000000000001,74.79,60.120000000000005,66.15,72.41000000000001,87.04000000000002,90.18,76.23,50.68000000000001,67.61,62.64,52.25
South Asia,328.5,357.2,400.0,428.6,514.3,514.3,528.6,542.9,528.6,557.1,542.9,528.6,AN,32.85,35.72,40.0,42.86000000000001,51.43,51.43,52.86000000000001,54.29,52.86000000000001,55.71000000000001,54.29,52.86000000000001
North East Asia,3885.900000000001,4564.299999999999,4750.599999999999,5448.1,6646.0,7026.799999999999,6096.999999999999,5971.999999999999,6255.299999999999,7039.599999999999,6647.900000000001,7205.0,AN,388.59000000000015,456.42999999999995,475.05999999999995,544.8100000000001,664.6,702.68,609.6999999999999,597.1999999999999,625.53,703.96,664.7900000000001,720.5
Oceania,1647.1,1647.1,1588.2,1764.7,1823.5,1911.8,1823.5,1838.2,1882.4,1911.8,1941.2,1970.6,AN,164.71,164.71,158.82000000000002,176.47000000000003,182.35000000000002,191.18,182.35000000000002,183.82000000000002,188.24,191.18,194.12,197.06
Europe,9000.2,8679.4,9066.099999999999,9695.599999999999,9545.8,9414.6,8630.9,7914.599999999999,8069.700000000001,7826.2,7621.799999999999,7974.400000000001,AN,900.0200000000001,867.94,906.6099999999999,969.56,954.5799999999999,941.46,863.09,791.46,806.9700000000001,782.62,762.18,797.44
Former USSR,2020.3,2313.5,2432.2,2343.6,2335.0,2042.2,2068.4,2149.1,2100.0,2246.4,2219.3,2261.6,AS,202.03,231.35000000000002,243.22,234.36,233.5,204.22000000000003,206.84000000000003,214.91,210.0,224.64000000000001,221.93000000000004,226.16
North America,3181.5,3416.6,3750.5,4275.7,4258.1,4374.2,4347.2,4086.2,4001.0,3960.0,4041.4,4047.7,AS,318.15000000000003,341.66,375.05,427.57,425.81000000000006,437.42,434.72,408.62,400.1,396.0,404.14000000000004,404.77
Latin America,1548.5,1640.7,1603.5,1585.7,1589.5,1681.8,1626.6,1270.9,1017.2,785.1999999999999,799.6,761.8,AS,154.85000000000002,164.07000000000002,160.35000000000002,158.57000000000002,158.95000000000002,168.18,162.66,127.09000000000002,101.72000000000001,78.52,79.96000000000001,76.17999999999999
Africa,236.1,266.8,249.5,232.6,359.1,411.6999999999999,435.7,440.5,498.8,406.3,418.1,415.1,AS,23.61,26.680000000000003,24.950000000000003,23.26,35.910000000000004,41.16999999999999,43.57,44.050000000000004,49.88,40.63,41.81,41.510000000000005
Middle East,306.1,253.6,218.2,286.7,236.8,144.8,142.6,240.9,249.8,155.2,244.6,958.1999999999999,AS,30.610000000000003,25.36,21.82,28.67,23.680000000000003,14.480000000000002,14.26,24.090000000000003,24.980000000000004,15.52,24.46,95.82
South Asia,605.0,633.0,631.3,570.2,600.0,576.0,603.0,612.0,675.0,642.1,774.5,844.0,AS,60.5,63.300000000000004,63.129999999999995,57.02000000000001,60.0,57.6,60.300000000000004,61.2,67.5,64.21000000000001,77.45,84.4
North East Asia,6315.7,6847.099999999999,7278.0,7727.900000000001,8206.0,9251.1,10598.5,10634.7,12692.4,12788.0,13791.5,13409.8,AS,631.57,684.71,727.8000000000001,772.7900000000001,820.6,925.1100000000001,1059.8500000000001,1063.47,1269.24,1278.8000000000002,1379.15,1340.98
Oceania,513.5,448.0,491.1,470.5,403.3,421.2,407.9,425.0,471.2,440.0,477.3,449.5,AS,51.35,44.800000000000004,49.11000000000001,47.050000000000004,40.330000000000005,42.120000000000005,40.79,42.5,47.120000000000005,44.0,47.730000000000004,44.95
Europe,4754.7,5150.0,4753.8,5029.5,5019.6,5040.8,5167.6,4921.0,5151.999999999999,4914.4,4895.8,4816.7,AS,475.47,515.0,475.38000000000005,502.95000000000005,501.96000000000004,504.08000000000004,516.7600000000001,492.1,515.1999999999999,491.44,489.58000000000004,481.67
Former USSR,825.1,1246.9,1437.6,1367.3,1177.8,1423.5,1247.6,1025.1,1018.5,1097.1,1349.8,1245.9,CAN,82.51,124.69000000000001,143.76,136.73,117.78,142.35,124.75999999999999,102.50999999999999,101.85000000000001,109.71,134.98,124.59000000000002
North America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,279.8,300.3,293.2,319.0,288.3,304.9,257.1,199.2,237.2,211.7,176.8,195.0,CAN,27.980000000000004,30.03,29.32,31.900000000000002,28.830000000000002,30.49,25.710000000000004,19.92,23.72,21.17,17.680000000000003,19.5
Middle East,1024.5,994.3,1121.0,773.4,713.7,763.0999999999999,525.1,521.6,782.4,1022.7,1382.1,1498.8,CAN,102.45,99.43,112.10000000000001,77.34,71.37,76.30999999999999,52.510000000000005,52.160000000000004,78.24000000000001,102.27000000000001,138.21,149.88
South Asia,472.5,628.0,706.1,589.4,536.5,493.9,690.3,629.0,612.9,475.0,403.4,757.8,CAN,47.25,62.800000000000004,70.61,58.94,53.650000000000006,49.39,69.03,62.900000000000006,61.29,47.5,40.34,75.78
North East Asia,259.3,314.8,333.3,351.9,370.4,388.9,370.4,388.9,370.4,333.3,333.3,333.3,CAN,25.930000000000003,31.480000000000004,33.330000000000005,35.19,37.04,38.89,37.04,38.89,37.04,33.330000000000005,33.330000000000005,33.330000000000005
Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe,10766.5,10659.5,11252.099999999999,10646.500000000002,11020.2,11878.5,11668.7,11770.500000000002,12017.699999999999,11508.8,11445.099999999999,11614.2,CAN,1076.65,1065.95,1125.2099999999998,1064.6500000000003,1102.0200000000002,1187.8500000000001,1166.8700000000001,1177.0500000000002,1201.77,1150.8799999999999,1144.51,1161.42
Former USSR,11692.4,11543.7,12939.7,13225.6,11876.7,11955.2,12631.2,13464.0,13604.1,13612.6,15264.8,16583.0,UREA,1169.24,1154.3700000000001,1293.9700000000003,1322.5600000000002,1187.67,1195.5200000000002,1263.1200000000001,1346.4,1360.41,1361.2600000000002,1526.48,1658.3000000000002
North America,9677.4,9833.7,10255.8,10005.5,9992.0,9826.5,10077.7,11589.0,12729.5,14399.7,14911.8,15571.3,UREA,967.74,983.3700000000001,1025.58,1000.5500000000001,999.2,982.6500000000001,1007.7700000000001,1158.9,1272.95,1439.9700000000003,1491.18,1557.13
Latin America,4739.1,5060.799999999999,5464.199999999999,5044.799999999999,4554.0,4223.1,4458.6,4834.699999999999,4488.599999999999,3637.9,3430.9,3045.2,UREA,473.9100000000001,506.0799999999999,546.42,504.47999999999996,455.40000000000003,422.31000000000006,445.86000000000007,483.4699999999999,448.85999999999996,363.79,343.09000000000003,304.52
Africa,5602.1,5951.3,5259.599999999999,4807.2,4762.200000000001,4499.4,4897.700000000001,8132.7,9591.0,11463.7,11085.6,11647.1,UREA,560.21,595.13,525.9599999999999,480.72,476.2200000000001,449.94,489.7700000000001,813.27,959.1,1146.3700000000001,1108.5600000000002,1164.71
Middle East,14302.5,16087.1,17473.6,18305.7,20131.1,19457.5,21287.2,22765.5,23292.0,24164.7,23085.9,23507.1,UREA,1430.25,1608.71,1747.36,1830.5700000000002,2013.11,1945.75,2128.7200000000003,2276.55,2329.2000000000003,2416.4700000000003,2308.59,2350.71
South Asia,27886.2,28264.8,28718.4,27985.4,29325.7,28954.7,30486.8,31796.6,30881.5,30988.9,31986.1,33041.2,UREA,2788.6200000000003,2826.48,2871.84,2798.5400000000004,2932.57,2895.4700000000003,3048.6800000000003,3179.66,3088.15,3098.8900000000003,3198.61,3304.12
North East Asia,65363.40000000001,64326.5,65388.1,72511.40000000001,78301.09999999999,77227.6,82148.40000000001,71343.5,65254.5,64371.7,67794.1,68504.20000000001,UREA,6536.340000000001,6432.650000000001,6538.81,7251.140000000001,7830.11,7722.760000000001,8214.840000000002,7134.35,6525.450000000001,6437.17,6779.410000000001,6850.420000000002
Oceania,524.9,531.7,314.1,451.1,500.1,513.4,457.9,418.4,486.4,444.4,460.0,416.1,UREA,52.49,53.17000000000001,31.410000000000004,45.11000000000001,50.010000000000005,51.34,45.79,41.84,48.64,44.44,46.0,41.61000000000001
Europe,7686.3,8010.2,8794.1,9515.5,9280.2,9395.6,8334.300000000001,8537.6,8944.7,8771.4,8703.599999999999,9177.400000000001,UREA,768.6300000000001,801.02,879.4100000000001,951.5500000000001,928.0200000000001,939.5600000000001,833.4300000000002,853.7600000000001,894.4700000000001,877.14,870.3599999999999,917.7400000000002
